    627 supra	note
      3 muslims	of
      3 muslims	have
      3 muslims	gather
      3 muslims	from
      3 muslim	somali
      3 muslim	or
      3 muslim	countries
      3 muslim	citizens
      3 muslim	areas
      3 municipalities	and
      3 municipal	agencies
      3 muggah	section
      3 muggah	is
      3 mug	shots
      3 much	to
      3 much	there
      3 much	less
      3 mouse	it
      3 mosul	and
      3 most	youth
      3 most	war
      3 most	terrorism
      3 most	states
      3 most	cities
      3 mosques	in
      3 mosque	the
      3 moreover	it
      3 more	specifically
      3 more	sophisticated
      3 more	resilient
      3 more	reliable
      3 more	recently
      3 more	recent
      3 more	powerful
      3 more	on
      3 more	new
      3 more	marginalized
      3 more	like
      3 more	juveniles
      3 more	inclined
      3 more	heavily
      3 more	by
      3 more	accustomed
      3 months	the
      3 month	s
      3 month	period
      3 montero	carmargo
      3 monteilh	supra
      3 monte	mayor
      3 monte	city
      3 monte	called
      3 monte	but
      3 monte	at
      3 monitoring	systems
      3 monitoring	and
      3 monitor	excessive
      3 money	on
      3 molding	and
      3 model	and
      3 minority	men
      3 minorities	n
      3 minor	crimes
      3 minimum	age
      3 minimise	risk
      3 mindful	of
      3 miller	v
      3 militarise	law
      3 miles	from
      3 might	well
      3 might	not
      3 middle	eastern
      3 microsoft	com
      3 micro	places
      3 michelle	alexander
      3 michael	greenberg
      3 michael	e
      3 michael	brown
      3 methods	of
      3 methods	and
      3 method	of
      3 messages	were
      3 mere	threat
      3 mere	presence
      3 mention	most
      3 mental	health
      3 men	who
      3 men	and
      3 memorandum	feb
      3 members	who
      3 members	to
      3 meeting	with
      3 medianews	group
      3 media	to
      3 media	n
      3 media	monitoring
      3 media	group
      3 measures	confuse
      3 meares	and
      3 meantime	technology
      3 meant	to
      3 means	to
      3 means	a
      3 mean	you
      3 mcdonough	deputy
      3 mayor	of
      3 mayor	for
      3 mayor	described
      3 mayor	andre
      3 mayhem	in
      3 mayer	schonberger
      3 may	take
      3 may	simply
      3 may	pm
      3 may	in
      3 may	create
      3 may	available
      3 may	at
      3 may	am
      3 mature	into
      3 materials	see
      3 match	for
      3 match	a
      3 massive	investments
      3 massive	database
      3 maryland	s
      3 martin	powell
      3 maroney	supra
      3 markers	of
      3 marked	by
      3 margolis	ceo
      3 marginalization	and
      3 mar	http
      3 mapping	historical
      3 many	youth
      3 many	states
      3 many	resulted
      3 many	police
      3 many	people
      3 many	examples
      3 many	episodes
      3 many	do
      3 many	as
      3 many	americans
      3 manner	regardless
      3 manner	at
      3 mandatory	standards
      3 mandatory	life
      3 management	of
      3 manage	and
      3 man	in
      3 making	the
      3 making	it
      3 makes	more
      3 make	up
      3 make	them
      3 make	sense
      3 major	us
      3 major	businesses
      3 magazine	at
      3 madrid	and
      3 made	bombs
      3 made	blast
      3 m	o
      3 m	but
      3 loyalty	to
      3 lower	courts
      3 lot	from
      3 looks	forward
      3 looking	at
      3 look	at
      3 longtime	police
      3 long	been
      3 lone	wolves
      3 london	says
      3 london	madrid
      3 lock	cities
      3 lochner	supra
      3 location	is
      3 location	in
      3 locals	are
      3 local	governments
      3 lives	of
      3 lives	n
      3 live	their
      3 little	or
      3 lists	n
      3 listen	to
      3 list	n
      3 lisa	o
      3 lining	up
      3 line	between
      3 limited	the
      3 limited	n
      3 limitations	on
      3 likely	won
      3 likely	that
      3 like	to
      3 like	other
      3 like	guerrillas
      3 like	a
      3 light	of
      3 life	long
      3 life	altogether
      3 libya	nigeria
      3 liberty	specialists
      3 let	terrorism
      3 let	alone
      3 less	well
      3 lend	themselves
      3 legitimacy	of
      3 legitimacy	from
      3 legislation	and
      3 legal	wrongdoing
      3 legal	action
      3 least	terrorist
      3 learned	about
      3 learn	from
      3 leaders	to
      3 leaders	n
      3 lawyers	guild
      3 laws	should
      3 law	school
      3 law	proceduresearch
      3 law	must
      3 law	mckinney
      3 law	is
      3 law	in
      3 launched	a
      3 late	s
      3 last	decade
      3 larger	context
      3 large	urban
      3 large	part
      3 lapdonline	org
      3 language	in
      3 landscapes	to
      3 labeled	as
      3 label	of
      3 la	was
      3 la	shut
      3 la	reacted
      3 la	me
      3 la	can
      3 la	bomb
      3 l	ass
      3 kundnani	the
      3 known	suspects
      3 known	suspect
      3 known	robber
      3 known	or
      3 known	narcotics
      3 known	gang
      3 know	whether
      3 know	the
      3 know	about
      3 killings	french
      3 killed	in
      3 kilcullen	nevertheless
      3 kilcullen	he
      3 kilcullen	after
      3 key	u
      3 kevin	lapp
      3 kahan	privatizing
      3 kahan	black
      3 k	babe
      3 juventino	j
      3 juveniles	subject
      3 juveniles	it
      3 juveniles	is
      3 juveniles	have
      3 juveniles	convicted
      3 juveniles	be
      3 juveniles	at
      3 juveniles	as
      3 juveniles	and
      3 juvenile	is
      3 juvenile	arrestee
      3 justify	an
      3 justified	by
      3 justice	warren
      3 justice	the
      3 justice	stats
      3 justice	scholar
      3 justice	reform
      3 justice	policies
      3 justice	office
      3 justice	information
      3 justice	in
      3 justice	franklin
      3 justice	contact
      3 justice	assistance
      3 justice	actors
      3 just	now
      3 just	n
      3 just	http
      3 just	a
      3 jurisdictions	n
      3 jurisdictions	have
      3 july	available
      3 july	am
      3 julie	e
      3 julia	angwin
      3 judgments	and
      3 judging	a
      3 judges	who
      3 judge	posner
      3 joins	the
      3 john	terry
      3 jittery	reaction
      3 jihadi	recruits
      3 janeiro	brazil
      3 james	supra
      3 james	risen
      3 james	james
      3 james	jacobs
      3 james	b
      3 j	steinbock
      3 j	res
      3 j	quantitative
      3 j	police
      3 j	gomez
      3 itself	used
      3 itself	a
      3 its	value
      3 its	potential
      3 its	policing
      3 its	impact
      3 its	focus
      3 its	crime
      3 it	with
      3 it	well
      3 it	right
      3 it	foiled
      3 it	disproportionately
      3 it	delivers
      3 it	comes
      3 it	came
      3 it	calls
      3 issues	n
      3 issues	alerts
      3 islamist	radicalization
      3 islamist	extremism
      3 islamic	relations
      3 is	what
      3 is	visited
      3 is	very
      3 is	too
      3 is	straightforward
      3 is	so
      3 is	research
      3 is	reportedly
      3 is	reported
      3 is	reasonable
      3 is	real
      3 is	provided
      3 is	precisely
      3 is	pervasive
      3 is	part
      3 is	or
      3 is	of
      3 is	marked
      3 is	less
      3 is	insufficient
      3 is	how
      3 is	greater
      3 is	even
      3 is	essentially
      3 is	enough
      3 is	easy
      3 is	designed
      3 is	considered
      3 is	committing
      3 is	collected
      3 is	certainly
      3 is	because
      3 is	arrested
      3 iraq	there
      3 ira	eta
      3 involving	the
      3 involving	officers
      3 involved	a
      3 invisible	punishment
      3 investments	in
      3 investigations	n
      3 investigations	but
      3 investigation	n
      3 investigation	into
      3 invest	in
      3 invasions	of
      3 invasion	of
      3 intrusion	n
      3 introduce	mass
      3 into	reasonable
      3 into	our
      3 into	full
      3 into	conversations
      3 intertwined	with
      3 internet	search
      3 internet	n
      3 internet	monitoring
      3 interconnected	collections
      3 intentions	but
      3 intelligence	value
      3 intelligence	on
      3 intelligence	div
      3 intelligence	database
      3 intake	referral
      3 insurgency	specialist
      3 instituto	igarape
      3 institutions	and
      3 instead	they
      3 installing	physical
      3 installing	extra
      3 instagram	feeds
      3 insight	into
      3 inside	the
      3 innocent	people
      3 initiatives	are
      3 initiative	to
      3 infrastructure	others
      3 infrastructure	can
      3 infrastructure	by
      3 information	they
      3 information	system
      3 information	stored
      3 information	raise
      3 information	publicly
      3 information	provided
      3 information	has
      3 information	gathering
      3 information	exchange
      3 information	but
      3 information	between
      3 information	as
      3 information	are
      3 informants	to
      3 informants	are
      3 informant	s
      3 influenced	by
      3 inflicting	real
      3 inflict	a
      3 indulged	in
      3 individuals	with
      3 individuals	that
      3 individuals	or
      3 individualized	suspicion
      3 individualized	information
      3 individual	or
      3 individual	must
      3 individual	in
      3 indicia	of
      3 indicates	that
      3 indicate	that
      3 independent	of
      3 independent	adulthood
      3 increasingly	routine
      3 increasingly	panicky
      3 increasingly	commonly
      3 increased	surveillance
      3 increased	police
      3 inclusion	or
      3 inclusion	in
      3 including	last
      3 include	the
      3 include	body
      3 incidents	not
      3 incidents	bring
      3 incarceration	and
      3 inc	and
      3 in	young
      3 in	violence
      3 in	use
      3 in	urban
      3 in	u
      3 in	truth
      3 in	town
      3 in	too
      3 in	tel
      3 in	such
      3 in	substantial
      3 in	sorna
      3 in	social
      3 in	situations
      3 in	seattle
      3 in	scattered
      3 in	santa
      3 in	rio
      3 in	question
      3 in	promoting
      3 in	private
      3 in	possession
      3 in	portland
      3 in	partnership
      3 in	ornelas
      3 in	or
      3 in	on
      3 in	oklahoma
      3 in	october
      3 in	observation
      3 in	los
      3 in	local
      3 in	light
      3 in	l
      3 in	kansas
      3 in	illegal
      3 in	identifying
      3 in	her
      3 in	gun
      3 in	good
      3 in	front
      3 in	focusing
      3 in	florida
      3 in	federal
      3 in	expansive
      3 in	every
      3 in	evacuations
      3 in	europe
      3 in	effect
      3 in	dramatically
      3 in	developmental
      3 in	deciding
      3 in	crowded
      3 in	courts
      3 in	countering
      3 in	counter
      3 in	conversation
      3 in	connection
      3 in	civil
      3 in	choosing
      3 in	charleston
      3 in	cars
      3 in	baghdad
      3 in	as
      3 in	another
      3 in	already
      3 in	alone
      3 in	alleged
      3 in	afghanistan
      3 in	adult
      3 improve	the
      3 implicated	in
      3 implemented	in
      3 implementation	el
